"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Chinook subyearling","1998","Stratum_1"," [count/km2]",327396.009389358,124357.656460723,0.379838644620833
"Chinook yearling","1998","Stratum_1"," [count/km2]",129912.106388025,47719.5362264013,0.367321703520619
"Coho yearling","1998","Stratum_1"," [count/km2]",254692.933062869,96362.1810675665,0.37834650498049
"Chinook subyearling","1999","Stratum_1"," [count/km2]",8469.74013851401,8899.22424894727,1.0507080622793
"Chinook yearling","1999","Stratum_1"," [count/km2]",630183.302005994,100747.997128766,0.159870940420139
"Coho yearling","1999","Stratum_1"," [count/km2]",684182.160540269,150206.010319485,0.219540962893382
"Chinook subyearling","2000","Stratum_1"," [count/km2]",56557.2777543016,31667.1737560855,0.559913330582411
"Chinook yearling","2000","Stratum_1"," [count/km2]",837499.726944401,171482.403488307,0.204755175400422
"Coho yearling","2000","Stratum_1"," [count/km2]",973956.885299143,221355.37588378,0.227274306722307
"Chinook subyearling","2001","Stratum_1"," [count/km2]",39203.1106443993,23752.3036659656,0.605878035582848
"Chinook yearling","2001","Stratum_1"," [count/km2]",441773.90254304,89551.2434250521,0.202708315066954
"Coho yearling","2001","Stratum_1"," [count/km2]",1758020.40372023,283830.952457483,0.161449179916715
"Chinook subyearling","2002","Stratum_1"," [count/km2]",163250.565609858,58502.5080091939,0.35836021633766
"Chinook yearling","2002","Stratum_1"," [count/km2]",818274.177563069,142568.437940798,0.174230645240922
"Coho yearling","2002","Stratum_1"," [count/km2]",1671454.20620182,264701.190970774,0.158365805050846
"Chinook subyearling","2003","Stratum_1"," [count/km2]",338075.322528775,82179.2196223796,0.243079616127217
"Chinook yearling","2003","Stratum_1"," [count/km2]",489058.222996543,74071.136280175,0.151456683063887
"Coho yearling","2003","Stratum_1"," [count/km2]",1310925.21002295,189586.640996467,0.144620486010143
"Chinook subyearling","2004","Stratum_1"," [count/km2]",171868.244492922,54222.2888830412,0.315487535484044
"Chinook yearling","2004","Stratum_1"," [count/km2]",371306.908231177,63742.9435378585,0.171671849149038
"Coho yearling","2004","Stratum_1"," [count/km2]",881305.494513683,141163.155690325,0.160175054585608
"Chinook subyearling","2005","Stratum_1"," [count/km2]",67368.4033625289,37762.508022839,0.560537375654103
"Chinook yearling","2005","Stratum_1"," [count/km2]",100836.908299499,37363.5819566082,0.370534783212844
"Coho yearling","2005","Stratum_1"," [count/km2]",127342.100284138,46885.9116616293,0.368188615995912
"Chinook subyearling","2006","Stratum_1"," [count/km2]",185858.332541217,55168.0115013594,0.296828292533642
"Chinook yearling","2006","Stratum_1"," [count/km2]",526130.379333212,82545.4699103205,0.15689166250946
"Coho yearling","2006","Stratum_1"," [count/km2]",937922.469252227,135697.205815819,0.144678489176195
"Chinook subyearling","2007","Stratum_1"," [count/km2]",133348.879714301,44259.8744866974,0.331910358613616
"Chinook yearling","2007","Stratum_1"," [count/km2]",546126.463289657,70510.1766696392,0.129109613632185
"Coho yearling","2007","Stratum_1"," [count/km2]",1702609.86806429,186732.224308544,0.109674111381042
"Chinook subyearling","2008","Stratum_1"," [count/km2]",144098.534980771,42758.6336593662,0.296731911015419
"Chinook yearling","2008","Stratum_1"," [count/km2]",1080177.09660655,125387.251458932,0.116080272256137
"Coho yearling","2008","Stratum_1"," [count/km2]",1300523.75928506,169830.228845223,0.130586025539882
"Chinook subyearling","2009","Stratum_1"," [count/km2]",301871.012185394,80415.2653303486,0.266389491154459
"Chinook yearling","2009","Stratum_1"," [count/km2]",869547.135487689,94774.5609734858,0.108993011540807
"Coho yearling","2009","Stratum_1"," [count/km2]",1229107.19084842,145346.967429876,0.118254102255758
"Chinook subyearling","2010","Stratum_1"," [count/km2]",369378.012495384,88700.8272353324,0.240135644880705
"Chinook yearling","2010","Stratum_1"," [count/km2]",723599.021707515,87952.4576027776,0.121548613201869
"Coho yearling","2010","Stratum_1"," [count/km2]",664563.155630578,124291.107395528,0.187026780438336
"Chinook subyearling","2011","Stratum_1"," [count/km2]",154919.623204685,46949.4061210597,0.303056547323437
"Chinook yearling","2011","Stratum_1"," [count/km2]",453087.294366092,59808.3547192072,0.132001835988105
"Coho yearling","2011","Stratum_1"," [count/km2]",450069.9883161,83856.0268687808,0.186317748451793
"Chinook subyearling","2012","Stratum_1"," [count/km2]",127175.460449091,47152.0699119934,0.370763901663786
"Chinook yearling","2012","Stratum_1"," [count/km2]",1016059.6927266,121865.463369077,0.119939275459349
"Coho yearling","2012","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2013","Stratum_1"," [count/km2]",411642.646962891,129200.703825046,0.31386617683637
"Chinook yearling","2013","Stratum_1"," [count/km2]",776077.705765594,135463.041616235,0.174548296658776
"Coho yearling","2013","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2014","Stratum_1"," [count/km2]",181270.303693387,71540.3216864775,0.39466101302222
"Chinook yearling","2014","Stratum_1"," [count/km2]",553388.506079583,95180.6084955995,0.171995998200063
"Coho yearling","2014","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2015","Stratum_1"," [count/km2]",86945.5914325251,31223.6116030019,0.359116673871076
"Chinook yearling","2015","Stratum_1"," [count/km2]",1047273.97249246,123843.849741785,0.118253535363858
"Coho yearling","2015","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2016","Stratum_1"," [count/km2]",362683.14921605,86058.7638984796,0.237283601635472
"Chinook yearling","2016","Stratum_1"," [count/km2]",856705.46097756,100906.572029116,0.117784438906196
"Coho yearling","2016","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2017","Stratum_1"," [count/km2]",65705.1947046424,25143.2483370704,0.38266758739692
"Chinook yearling","2017","Stratum_1"," [count/km2]",226177.617460729,40490.2295439092,0.179019612985974
"Coho yearling","2017","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2018","Stratum_1"," [count/km2]",223232.877408126,57502.4923582154,0.257589710914698
"Chinook yearling","2018","Stratum_1"," [count/km2]",686597.506801728,90269.0899878987,0.131473081526884
"Coho yearling","2018","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2019","Stratum_1"," [count/km2]",358680.203652407,118213.979996065,0.329580441831759
"Chinook yearling","2019","Stratum_1"," [count/km2]",466129.855373595,88529.4555799613,0.189924448218418
"Coho yearling","2019","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2020","Stratum_1"," [count/km2]",598214.422278682,192128.13088849,0.321169339509816
"Chinook yearling","2020","Stratum_1"," [count/km2]",207942.572303913,61279.062107939,0.294692238481971
"Coho yearling","2020","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2021","Stratum_1"," [count/km2]",255113.717274073,84509.4286202093,0.331261797770833
"Chinook yearling","2021","Stratum_1"," [count/km2]",1318549.86705019,140457.812660412,0.106524460068119
"Coho yearling","2021","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2022","Stratum_1"," [count/km2]",2622.17394188748,3896.9225335975,1.48614188835713
"Chinook yearling","2022","Stratum_1"," [count/km2]",498331.829333633,83090.2642486907,0.166736819439767
"Coho yearling","2022","Stratum_1"," [count/km2]",0,0,0
